campaign_id,stage,sac_id,adsorbate,support,input_structure,required_checks,status
bare_Pd@gC3N4_N4,bare_SAC_optimisation,Pd@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Pd@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Pt@gC3N4_N4,bare_SAC_optimisation,Pt@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Pt@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Rh@gC3N4_N4,bare_SAC_optimisation,Rh@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Rh@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Ru@gC3N4_N4,bare_SAC_optimisation,Ru@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Ru@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Zn@gC3N4_N4,bare_SAC_optimisation,Zn@gC3N4_N4,none,gC3N4_N4,structures/initial/ase_generated/gC3N4_N4/Zn@gC3N4_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Au@graphene_N4,bare_SAC_optimisation,Au@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Au@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Co@graphene_N4,bare_SAC_optimisation,Co@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Co@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Cu@graphene_N4,bare_SAC_optimisation,Cu@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Cu@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Fe@graphene_N4,bare_SAC_optimisation,Fe@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Fe@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Ni@graphene_N4,bare_SAC_optimisation,Ni@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Ni@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Pd@graphene_N4,bare_SAC_optimisation,Pd@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Pd@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Pt@graphene_N4,bare_SAC_optimisation,Pt@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Pt@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Rh@graphene_N4,bare_SAC_optimisation,Rh@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Rh@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Ru@graphene_N4,bare_SAC_optimisation,Ru@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Ru@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
bare_Zn@graphene_N4,bare_SAC_optimisation,Zn@graphene_N4,none,graphene_N4,structures/initial/ase_generated/graphene_N4/Zn@graphene_N4.vasp,multi_spin;force_convergence;alternative_placement;raw_archive;stability_followup,NOT_RUN
screen_Au@MoS2_Svac__H,adsorbate_screening,Au@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Au@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Au@MoS2_Svac__NO3,adsorbate_screening,Au@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Au@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Co@MoS2_Svac__H,adsorbate_screening,Co@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Co@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Co@MoS2_Svac__NO3,adsorbate_screening,Co@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Co@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Cu@MoS2_Svac__H,adsorbate_screening,Cu@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Cu@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Cu@MoS2_Svac__NO3,adsorbate_screening,Cu@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Cu@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Fe@MoS2_Svac__H,adsorbate_screening,Fe@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Fe@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Fe@MoS2_Svac__NO3,adsorbate_screening,Fe@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Fe@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ni@MoS2_Svac__H,adsorbate_screening,Ni@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Ni@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ni@MoS2_Svac__NO3,adsorbate_screening,Ni@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Ni@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pd@MoS2_Svac__H,adsorbate_screening,Pd@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Pd@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pd@MoS2_Svac__NO3,adsorbate_screening,Pd@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Pd@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pt@MoS2_Svac__H,adsorbate_screening,Pt@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Pt@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pt@MoS2_Svac__NO3,adsorbate_screening,Pt@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Pt@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Rh@MoS2_Svac__H,adsorbate_screening,Rh@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Rh@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Rh@MoS2_Svac__NO3,adsorbate_screening,Rh@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Rh@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ru@MoS2_Svac__H,adsorbate_screening,Ru@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Ru@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ru@MoS2_Svac__NO3,adsorbate_screening,Ru@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Ru@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Zn@MoS2_Svac__H,adsorbate_screening,Zn@MoS2_Svac,H,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Zn@MoS2_Svac__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Zn@MoS2_Svac__NO3,adsorbate_screening,Zn@MoS2_Svac,NO3,MoS2_Svac,structures/initial/adsorbates/MoS2_Svac/Zn@MoS2_Svac__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Au@gC3N4_N4__H,adsorbate_screening,Au@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Au@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Au@gC3N4_N4__NO3,adsorbate_screening,Au@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Au@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Co@gC3N4_N4__H,adsorbate_screening,Co@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Co@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Co@gC3N4_N4__NO3,adsorbate_screening,Co@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Co@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Cu@gC3N4_N4__H,adsorbate_screening,Cu@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Cu@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Cu@gC3N4_N4__NO3,adsorbate_screening,Cu@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Cu@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Fe@gC3N4_N4__H,adsorbate_screening,Fe@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Fe@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Fe@gC3N4_N4__NO3,adsorbate_screening,Fe@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Fe@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ni@gC3N4_N4__H,adsorbate_screening,Ni@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Ni@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ni@gC3N4_N4__NO3,adsorbate_screening,Ni@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Ni@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pd@gC3N4_N4__H,adsorbate_screening,Pd@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Pd@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pd@gC3N4_N4__NO3,adsorbate_screening,Pd@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Pd@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pt@gC3N4_N4__H,adsorbate_screening,Pt@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Pt@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pt@gC3N4_N4__NO3,adsorbate_screening,Pt@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Pt@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Rh@gC3N4_N4__H,adsorbate_screening,Rh@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Rh@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Rh@gC3N4_N4__NO3,adsorbate_screening,Rh@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Rh@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ru@gC3N4_N4__H,adsorbate_screening,Ru@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Ru@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ru@gC3N4_N4__NO3,adsorbate_screening,Ru@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Ru@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Zn@gC3N4_N4__H,adsorbate_screening,Zn@gC3N4_N4,H,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Zn@gC3N4_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Zn@gC3N4_N4__NO3,adsorbate_screening,Zn@gC3N4_N4,NO3,gC3N4_N4,structures/initial/adsorbates/gC3N4_N4/Zn@gC3N4_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Au@graphene_N4__H,adsorbate_screening,Au@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Au@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Au@graphene_N4__NO3,adsorbate_screening,Au@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Au@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Co@graphene_N4__H,adsorbate_screening,Co@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Co@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Co@graphene_N4__NO3,adsorbate_screening,Co@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Co@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Cu@graphene_N4__H,adsorbate_screening,Cu@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Cu@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Cu@graphene_N4__NO3,adsorbate_screening,Cu@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Cu@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Fe@graphene_N4__H,adsorbate_screening,Fe@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Fe@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Fe@graphene_N4__NO3,adsorbate_screening,Fe@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Fe@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ni@graphene_N4__H,adsorbate_screening,Ni@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Ni@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ni@graphene_N4__NO3,adsorbate_screening,Ni@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Ni@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pd@graphene_N4__H,adsorbate_screening,Pd@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Pd@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pd@graphene_N4__NO3,adsorbate_screening,Pd@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Pd@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pt@graphene_N4__H,adsorbate_screening,Pt@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Pt@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Pt@graphene_N4__NO3,adsorbate_screening,Pt@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Pt@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Rh@graphene_N4__H,adsorbate_screening,Rh@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Rh@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Rh@graphene_N4__NO3,adsorbate_screening,Rh@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Rh@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ru@graphene_N4__H,adsorbate_screening,Ru@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Ru@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Ru@graphene_N4__NO3,adsorbate_screening,Ru@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Ru@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Zn@graphene_N4__H,adsorbate_screening,Zn@graphene_N4,H,graphene_N4,structures/initial/adsorbates/graphene_N4/Zn@graphene_N4__H.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
screen_Zn@graphene_N4__NO3,adsorbate_screening,Zn@graphene_N4,NO3,graphene_N4,structures/initial/adsorbates/graphene_N4/Zn@graphene_N4__NO3.vasp,charge_convention;dipole_correction;solvation_sensitivity;spin_check;raw_archive,NOT_RUN
